time;humantime;cpu0;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;memory_used;memory_size
1515020511;04/01/2018 00:01;49.000000;47.280000;63.510000;67.360000;48.590000;48.720000;;;;7462770000.000000;8000000000.000000
1515020811;04/01/2018 00:06;61.740000;56.170000;65.040000;45.090000;59.850000;;;;;7395790000.000000;8000000000.000000
1515021111;04/01/2018 00:11;46.890000;42.630000;;;;;;;;7097810000.000000;8000000000.000000
1515021411;04/01/2018 00:16;57.370000;55.340000;73.340000;64.450000;57.780000;64.110000;;;;7094880000.000000;8000000000.000000
1515021711;04/01/2018 00:21;55.220000;70.490000;;;;;;;;7407580000.000000;8000000000.000000
1515022011;04/01/2018 00:26;80.600000;;;;;;;;;7257570000.000000;8000000000.000000
1515022311;04/01/2018 00:31;63.450000;53.600000;59.270000;81.380000;;;;;;7490860000.000000;8000000000.000000
1515022611;04/01/2018 00:36;79.150000;59.410000;56.330000;71.310000;53.730000;45.410000;53.470000;47.560000;61.310000;7301890000.000000;8000000000.000000
1515022911;04/01/2018 00:41;65.230000;74.350000;71.430000;54.170000;67.980000;72.200000;75.120000;74.530000;59.190000;7060830000.000000;8000000000.000000
1515023211;04/01/2018 00:46;69.090000;58.420000;76.710000;;;;;;;7439670000.000000;8000000000.000000
1515023511;04/01/2018 00:51;66.770000;;;;;;;;;7201090000.000000;8000000000.000000
1515023811;04/01/2018 00:56;62.130000;46.970000;48.040000;71.050000;70.790000;54.070000;62.430000;65.320000;78.510000;7438100000.000000;8000000000.000000
1515024111;04/01/2018 01:01;49.810000;68.880000;;;;;;;;7164890000.000000;8000000000.000000
1515024411;04/01/2018 01:06;73.200000;49.820000;64.420000;67.610000;53.500000;53.180000;47.420000;;;7121870000.000000;8000000000.000000
1515024711;04/01/2018 01:11;50.370000;61.540000;53.290000;;;;;;;7285870000.000000;8000000000.000000
1515025011;04/01/2018 01:16;56.850000;53.280000;54.930000;71.490000;74.100000;64.680000;53.670000;48.150000;;7414720000.000000;8000000000.000000
1515025311;04/01/2018 01:21;69.010000;58.900000;77.460000;75.010000;52.950000;69.570000;55.860000;;;7398690000.000000;8000000000.000000
1515025611;04/01/2018 01:26;44.430000;42.370000;77.510000;50.050000;48.130000;71.730000;55.840000;47.680000;;7137290000.000000;8000000000.000000
1515025911;04/01/2018 01:31;65.160000;54.030000;71.650000;63.100000;72.600000;70.410000;51.540000;64.310000;;7210220000.000000;8000000000.000000
1515026211;04/01/2018 01:36;74.080000;79.660000;45.630000;59.080000;65.660000;49.910000;;;;7405490000.000000;8000000000.000000
1515026511;04/01/2018 01:41;76.620000;63.420000;53.340000;66.590000;51.610000;;;;;7492370000.000000;8000000000.000000
1515026811;04/01/2018 01:46;56.940000;58.750000;60.360000;61.020000;67.020000;58.660000;61.190000;51.190000;68.750000;7443530000.000000;8000000000.000000
1515027111;04/01/2018 01:51;52.240000;;;;;;;;;7009690000.000000;8000000000.000000
1515027411;04/01/2018 01:56;53.730000;55.270000;56.590000;47.720000;59.290000;;;;;7061620000.000000;8000000000.000000
1515027711;04/01/2018 02:01;73.570000;57.000000;;;;;;;;7439300000.000000;8000000000.000000
1515028011;04/01/2018 02:06;54.030000;53.110000;63.850000;76.310000;54.760000;;;;;7448530000.000000;8000000000.000000
1515028311;04/01/2018 02:11;54.130000;72.190000;75.220000;77.740000;57.090000;;;;;7378020000.000000;8000000000.000000
1515028611;04/01/2018 02:16;50.320000;67.790000;70.730000;48.030000;63.210000;69.090000;;;;7105510000.000000;8000000000.000000
1515028911;04/01/2018 02:21;65.770000;66.720000;69.150000;63.260000;62.400000;58.030000;;;;7288750000.000000;8000000000.000000
1515029211;04/01/2018 02:26;76.180000;;;;;;;;;7043780000.000000;8000000000.000000
1515029511;04/01/2018 02:31;66.680000;75.490000;58.760000;75.560000;60.180000;49.300000;68.110000;48.610000;;7288500000.000000;8000000000.000000
1515029811;04/01/2018 02:36;50.270000;;;;;;;;;7016990000.000000;8000000000.000000
1515030111;04/01/2018 02:41;74.310000;75.020000;77.390000;77.060000;53.690000;50.830000;68.030000;57.360000;65.410000;7243670000.000000;8000000000.000000
1515030411;04/01/2018 02:46;65.190000;76.810000;63.980000;75.880000;50.870000;57.200000;46.330000;;;7019050000.000000;8000000000.000000
1515030711;04/01/2018 02:51;73.450000;59.800000;;;;;;;;7228240000.000000;8000000000.000000
1515031011;04/01/2018 02:56;55.410000;70.820000;51.660000;54.990000;54.130000;49.400000;52.950000;73.830000;66.590000;7098310000.000000;8000000000.000000
