time;humantime;traffic_in;traffic_out;memory_size;memory_used;security_error;cpu0;cpu1;cpu2;cpu3;cpu4;cpu5;cpu6;cpu7;cpu8;disk_used;disk_size
1515020486;04/01/2018 00:01;1417860.000000;5234440.000000;9679530000.000000;13958600000.000000;0.000000;49.620000;60.310000;63.110000;54.580000;66.240000;76.510000;67.340000;52.740000;60.410000;19015700000.000000;132070000000.000000
1515020786;04/01/2018 00:06;2057410.000000;5857740.000000;9679530000.000000;13958600000.000000;0.000000;62.420000;66.060000;76.300000;62.750000;74.830000;54.300000;71.920000;70.280000;;19015700000.000000;132070000000.000000
1515021086;04/01/2018 00:11;445618.000000;3988970.000000;9679530000.000000;13958600000.000000;0.000000;47.970000;48.030000;78.600000;75.430000;49.350000;64.020000;51.650000;;;19015700000.000000;132070000000.000000
1515021386;04/01/2018 00:16;804757.000000;2125680.000000;9679530000.000000;13958600000.000000;0.000000;62.460000;59.050000;45.320000;65.220000;44.280000;;;;;19015700000.000000;132070000000.000000
1515021686;04/01/2018 00:21;1166290.000000;1360130.000000;9679530000.000000;13958600000.000000;0.000000;66.950000;75.540000;72.220000;63.470000;;;;;;19015700000.000000;132070000000.000000
1515021986;04/01/2018 00:26;1416640.000000;840299.000000;9679530000.000000;13958600000.000000;0.000000;51.410000;62.730000;51.360000;56.150000;;;;;;19015700000.000000;132070000000.000000
1515022286;04/01/2018 00:31;439667.000000;925473.000000;9679530000.000000;13958600000.000000;0.000000;58.710000;53.700000;66.080000;52.580000;48.240000;66.950000;46.130000;71.880000;;19015700000.000000;132070000000.000000
1515022586;04/01/2018 00:36;753111.000000;1299340.000000;9679530000.000000;13958600000.000000;0.000000;66.510000;56.820000;79.700000;75.800000;;;;;;19147700000.000000;132070000000.000000
1515022886;04/01/2018 00:41;1040040.000000;1627260.000000;9679530000.000000;13958600000.000000;0.000000;60.280000;66.370000;77.690000;81.720000;72.470000;;;;;19147700000.000000;132070000000.000000
1515023186;04/01/2018 00:46;1309960.000000;1928680.000000;9679530000.000000;13958600000.000000;0.000000;70.400000;69.470000;46.220000;79.390000;77.840000;75.710000;;;;19147700000.000000;132070000000.000000
1515023486;04/01/2018 00:51;713810.000000;773003.000000;9679530000.000000;13958600000.000000;0.000000;80.720000;54.540000;;;;;;;;19147700000.000000;132070000000.000000
1515023786;04/01/2018 00:56;1507970.000000;968223.000000;9679530000.000000;13958600000.000000;0.000000;80.150000;72.050000;52.420000;58.060000;74.060000;69.820000;68.710000;51.300000;48.600000;19147700000.000000;132070000000.000000
1515024086;04/01/2018 01:01;1247370.000000;224552.000000;9679530000.000000;13958600000.000000;0.000000;59.610000;;;;;;;;;19147700000.000000;132070000000.000000
1515024386;04/01/2018 01:06;152730.000000;21366.000000;9679530000.000000;13958600000.000000;0.000000;60.740000;63.830000;63.860000;58.050000;71.930000;69.220000;54.120000;;;19015700000.000000;132070000000.000000
1515024686;04/01/2018 01:11;90465.000000;93020.000000;9679530000.000000;13958600000.000000;0.000000;64.680000;67.630000;63.190000;66.980000;;;;;;19015700000.000000;132070000000.000000
1515024986;04/01/2018 01:16;520250.000000;104517.000000;9679530000.000000;13958600000.000000;0.000000;78.520000;72.610000;58.320000;68.620000;72.760000;74.030000;53.500000;;;19015700000.000000;132070000000.000000
1515025286;04/01/2018 01:21;173343.000000;138143.000000;9679530000.000000;13958600000.000000;0.000000;50.830000;;;;;;;;;19147700000.000000;132070000000.000000
1515025586;04/01/2018 01:26;74558.000000;257546.000000;9679530000.000000;13958600000.000000;0.000000;68.130000;63.560000;;;;;;;;19147700000.000000;132070000000.000000
1515025886;04/01/2018 01:31;82967.000000;156702.000000;9679530000.000000;13958600000.000000;0.000000;63.270000;52.730000;;;;;;;;19015700000.000000;132070000000.000000
1515026186;04/01/2018 01:36;1085720.000000;484002.000000;9679530000.000000;13958600000.000000;0.000000;63.690000;45.490000;51.850000;58.950000;66.830000;70.100000;;;;19015700000.000000;132070000000.000000
1515026486;04/01/2018 01:41;185506.000000;145521.000000;9679530000.000000;13958600000.000000;0.000000;53.900000;76.360000;68.830000;53.510000;51.140000;50.620000;57.550000;72.370000;;19015700000.000000;132070000000.000000
1515026786;04/01/2018 01:46;594508.000000;681878.000000;9679530000.000000;13958600000.000000;0.000000;71.880000;81.330000;66.540000;;;;;;;18883600000.000000;132070000000.000000
1515027086;04/01/2018 01:51;169131.000000;55970.000000;9679530000.000000;13958600000.000000;0.000000;61.860000;70.420000;72.420000;79.280000;54.850000;61.390000;;;;18883600000.000000;132070000000.000000
1515027386;04/01/2018 01:56;137283.000000;1418420.000000;9679530000.000000;13958600000.000000;0.000000;70.070000;75.610000;75.400000;49.150000;;;;;;18883600000.000000;132070000000.000000
1515027686;04/01/2018 02:01;757408.000000;203381.000000;9679530000.000000;13958600000.000000;0.000000;50.040000;73.380000;79.330000;55.530000;59.480000;53.740000;;;;18883600000.000000;132070000000.000000
1515027986;04/01/2018 02:06;1042020.000000;62347.000000;9679530000.000000;13958600000.000000;0.000000;50.380000;60.290000;74.080000;;;;;;;19015700000.000000;132070000000.000000
1515028286;04/01/2018 02:11;246320.000000;333743.000000;9679530000.000000;13958600000.000000;0.000000;73.890000;70.270000;74.970000;;;;;;;19147700000.000000;132070000000.000000
1515028586;04/01/2018 02:16;1252790.000000;122060.000000;9679530000.000000;13958600000.000000;0.000000;60.130000;70.800000;60.270000;;;;;;;19147700000.000000;132070000000.000000
1515028886;04/01/2018 02:21;33731.000000;176443.000000;9679530000.000000;13958600000.000000;0.000000;48.880000;;;;;;;;;19147700000.000000;132070000000.000000
1515029186;04/01/2018 02:26;708011.000000;128114.000000;9679530000.000000;13958600000.000000;0.000000;56.960000;51.770000;50.390000;;;;;;;19147700000.000000;132070000000.000000
1515029486;04/01/2018 02:31;209457.000000;112320.000000;9679530000.000000;13958600000.000000;0.000000;71.860000;68.240000;70.390000;78.730000;;;;;;19147700000.000000;132070000000.000000
1515029786;04/01/2018 02:36;367702.000000;102486.000000;9679530000.000000;13958600000.000000;0.000000;70.110000;71.560000;;;;;;;;19147700000.000000;132070000000.000000
1515030086;04/01/2018 02:41;31493.000000;146068.000000;9679530000.000000;13958600000.000000;0.000000;58.900000;64.440000;53.080000;64.160000;48.300000;60.820000;67.120000;;;19147700000.000000;132070000000.000000
1515030386;04/01/2018 02:46;74913.000000;82515.000000;9679530000.000000;13958600000.000000;0.000000;60.480000;73.990000;61.440000;67.100000;68.500000;75.180000;67.530000;62.430000;48.220000;19279800000.000000;132070000000.000000
1515030686;04/01/2018 02:51;675832.000000;14163.000000;9679530000.000000;13958600000.000000;0.000000;62.900000;55.600000;61.070000;60.010000;67.400000;;;;;19279800000.000000;132070000000.000000
